SpGnss : begin inSpGnss : begin outSpGnss : start in  mode = COLD_STARTSpGnss : start outGnss setup OK
2022/02/28 04:54:06.000670, numSat: 4, No-Fix, No Position
2022/02/28 04:54:07.000666, numSat: 4, No-Fix, No Position
2022/02/28 04:54:08.000657, numSat: 4, No-Fix, No Position
2022/02/28 04:54:09.000651, numSat: 4, No-Fix, No Position
2022/02/28 04:54:10.000644, numSat: 4, No-Fix, No Position
2022/02/28 04:54:11.000668, numSat: 4, No-Fix, No Position
2022/02/28 04:54:12.000662, numSat: 4, No-Fix, No Position
2022/02/28 04:54:13.000655, numSat: 4, No-Fix, No Position
2022/02/28 04:54:14.000649, numSat: 4, No-Fix, No Position
2022/02/28 04:54:15.000642, numSat: 4, No-Fix, No Position
2022/02/28 04:54:16.000670, numSat: 4, No-Fix, No Position
2022/02/28 04:54:17.000664, numSat: 4, No-Fix, No Position
2022/02/28 04:54:18.000653, numSat: 4, No-Fix, No Position
2022/02/28 04:54:19.000642, numSat: 4, No-Fix, No Position
2022/02/28 04:54:20.000672, numSat: 5, No-Fix, No Position
2022/02/28 04:54:21.000661, numSat: 5, No-Fix, No Position
2022/02/28 04:54:22.000655, numSat: 4, No-Fix, No Position
2022/02/28 04:54:23.000648, numSat: 4, No-Fix, No Position
2022/02/28 04:54:24.000642, numSat: 4, No-Fix, No Position
